Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
EDUCATION,4.2,8599,17M,"1,000,000+",Free,0,Everyone,Education
PARENTING,4.5,1025,17M,"100,000+",Free,0,Everyone,Parenting
PRODUCTIVITY,4.1,10676,12M,"1,000,000+",Free,0,Everyone,Productivity
BUSINESS,,1,3.7M,500+,Free,0,Everyone,Business
WEATHER,4.2,6849,1.2M,"1,000,000+",Free,0,Everyone,Weather
SPORTS,,1,26M,10+,Free,0,Everyone,Sports
MEDICAL,4.5,572,44M,"50,000+",Free,0,Everyone,Medical
TOOLS,4.3,246,2.8M,"100,000+",Free,0,Everyone,Tools
MAPS_AND_NAVIGATION,4.1,204,11M,"10,000+",Free,0,Everyone,Maps & Navigation
EVENTS,4.5,7074,6.3M,"500,000+",Free,0,Everyone,Events
LIFESTYLE,4.6,2167,1.4M,"500,000+",Free,0,Everyone,Lifestyle
FAMILY,4.6,28,23M,"1,000+",Paid,$1.99,Everyone,Education;Education
PERSONALIZATION,,0,3.9M,100+,Free,0,Everyone,Personalization
TOOLS,4.2,134203,4.1M,"10,000,000+",Free,0,Everyone,Tools
FINANCE,4.5,1308,3.7M,"100,000+",Free,0,Everyone,Finance
DATING,2.5,5377,19M,"500,000+",Free,0,Mature 17+,Dating
SPORTS,,9,5.5M,100+,Free,0,Everyone,Sports
SPORTS,4.4,133825,34M,"10,000,000+",Free,0,Everyone 10+,Sports
VIDEO_PLAYERS,,0,21M,100+,Free,0,Everyone,Video Players & Editors
MEDICAL,3.4,650,27M,"100,000+",Free,0,Everyone,Medical
BOOKS_AND_REFERENCE,,1,12M,10+,Paid,$5.49,Everyone,Books & Reference
HEALTH_AND_FITNESS,,14,1.3M,"1,000+",Free,0,Everyone,Health & Fitness
COMMUNICATION,5.0,8,29M,100+,Free,0,Teen,Communication
GAME,4.4,37023,33M,"10,000,000+",Free,0,Everyone,Casual
FAMILY,4.1,200214,18M,"10,000,000+",Free,0,Everyone,Education
GAME,4.5,14201891,52M,"100,000,000+",Free,0,Everyone,Sports
FOOD_AND_DRINK,3.8,1103,6.6M,"100,000+",Free,0,Everyone,Food & Drink
SPORTS,4.4,16,4.9M,"1,000+",Free,0,Everyone,Sports
TOOLS,3.9,21,11M,"10,000+",Free,0,Everyone,Tools
GAME,3.5,46801,60M,"1,000,000+",Free,0,Everyone,Card
COMMUNICATION,4.0,18247,Varies with device,"100,000+",Paid,$3.99,Everyone,Communication
GAME,4.4,579519,99M,"10,000,000+",Free,0,Mature 17+,Action
TOOLS,3.7,50,19M,"5,000+",Free,0,Everyone,Tools
FAMILY,4.4,103,36M,"10,000+",Free,0,Everyone,Simulation
NEWS_AND_MAGAZINES,4.3,39,4.2M,"5,000+",Free,0,Everyone,News & Magazines
GAME,4.4,41975,79M,"1,000,000+",Free,0,Everyone,Racing
BUSINESS,4.3,28,3.4M,"1,000+",Free,0,Everyone,Business
NEWS_AND_MAGAZINES,4.4,291901,4.3M,"10,000,000+",Free,0,Mature 17+,News & Magazines
SHOPPING,3.7,192,36M,"100,000+",Free,0,Everyone,Shopping
PHOTOGRAPHY,4.3,251686,31M,"10,000,000+",Free,0,Everyone,Photography
FAMILY,5.0,1,655k,10+,Paid,$4.99,Everyone,Education
FAMILY,4.1,288523,92M,"10,000,000+",Free,0,Everyone,Adventure;Education
SOCIAL,4.1,5285,4.0M,"500,000+",Free,0,Everyone,Social
GAME,4.4,2440877,32M,"10,000,000+",Free,0,Teen,Action
PERSONALIZATION,4.4,49,12M,"10,000+",Free,0,Teen,Personalization
PERSONALIZATION,,2,13M,100+,Free,0,Teen,Personalization
EDUCATION,4.6,85375,21M,"5,000,000+",Free,0,Everyone,Education
LIFESTYLE,,2,3.1M,10+,Free,0,Everyone,Lifestyle
FAMILY,3.8,7462,31M,"1,000,000+",Free,0,Everyone,Education;Music & Video
TOOLS,2.1,14,28M,"1,000+",Free,0,Everyone,Tools
ART_AND_DESIGN,4.0,18,3.6M,"1,000+",Free,0,Everyone,Art & Design
TOOLS,4.1,3315,5.1M,"500,000+",Free,0,Everyone,Tools
MEDICAL,2.6,41,14M,"1,000+",Paid,$9.99,Everyone,Medical
LIFESTYLE,,0,4.9M,50+,Free,0,Everyone,Lifestyle
FAMILY,4.3,2263,55M,"100,000+",Free,0,Everyone,Puzzle;Action & Adventure
GAME,4.4,21,15M,"5,000+",Free,0,Everyone,Arcade
GAME,4.2,307398,9.9M,"10,000,000+",Free,0,Everyone,Arcade
TOOLS,4.1,65597,2.4M,"10,000,000+",Free,0,Everyone,Tools
TOOLS,,13,8.1M,"1,000+",Free,0,Everyone,Tools
SHOPPING,3.4,25515,Varies with device,"10,000,000+",Free,0,Everyone,Shopping
FINANCE,,0,14M,1+,Paid,$28.99,Everyone,Finance
BUSINESS,4.6,213,3.8M,"10,000+",Free,0,Everyone,Business
BEAUTY,4.5,45452,9.2M,"5,000,000+",Free,0,Everyone,Beauty
GAME,4.3,10806,49M,"5,000,000+",Free,0,Everyone,Racing
NEWS_AND_MAGAZINES,3.4,736,8.5M,"50,000+",Free,0,Teen,News & Magazines
MEDICAL,,1,29M,5+,Free,0,Everyone,Medical
FAMILY,,1,874k,100+,Free,0,Everyone,Education
PERSONALIZATION,4.3,5413,3.9M,"1,000,000+",Free,0,Everyone,Personalization
TOOLS,4.3,514,8.4M,"50,000+",Free,0,Everyone,Tools
GAME,4.4,4067651,69M,"100,000,000+",Free,0,Everyone 10+,Strategy
PRODUCTIVITY,4.5,618798,Varies with device,"100,000,000+",Free,0,Everyone,Productivity
FAMILY,3.9,1985,3.5M,"500,000+",Free,0,Everyone,Puzzle
FAMILY,4.2,123136,80M,"5,000,000+",Free,0,Mature 17+,Simulation
FAMILY,4.2,3195,4.6M,"100,000+",Paid,$0.99,Everyone,Puzzle
TRAVEL_AND_LOCAL,4.2,92,20M,"10,000+",Free,0,Everyone,Travel & Local
LIBRARIES_AND_DEMO,4.4,63,417k,"5,000+",Free,0,Everyone,Libraries & Demo
FAMILY,4.4,276,16M,"50,000+",Free,0,Everyone,Puzzle;Brain Games
TOOLS,,1,51M,"1,000+",Free,0,Everyone,Tools
FAMILY,4.6,1481,3.1M,"50,000+",Free,0,Teen,Entertainment
FAMILY,3.9,237,26M,"100,000+",Free,0,Everyone,Education;Education
PHOTOGRAPHY,2.5,1283,8.2M,"100,000+",Free,0,Everyone,Photography
COMMUNICATION,3.9,517,35M,"10,000+",Free,0,Everyone,Communication
MEDICAL,,3,62M,100+,Paid,$24.99,Everyone,Medical
VIDEO_PLAYERS,,17,3.7M,500+,Free,0,Everyone,Video Players & Editors
COMMUNICATION,,0,1.6M,10+,Free,0,Everyone,Communication
FINANCE,4.1,13868,1.4M,"1,000,000+",Free,0,Everyone,Finance
GAME,,14,19M,"1,000+",Free,0,Everyone,Trivia
TOOLS,3.9,336,27M,"50,000+",Free,0,Everyone,Tools
FAMILY,4.3,1018,35M,"100,000+",Free,0,Everyone,Education;Education
TRAVEL_AND_LOCAL,3.4,2277,27M,"1,000,000+",Free,0,Everyone,Travel & Local
FAMILY,,3,11M,100+,Free,0,Everyone,Education
FINANCE,4.5,3704,4.6M,"100,000+",Free,0,Everyone,Finance
FAMILY,4.4,11442,66M,"1,000,000+",Free,0,Everyone,Educational;Creativity
SHOPPING,4.4,385764,8.4M,"10,000,000+",Free,0,Mature 17+,Shopping
TOOLS,1.8,53,3.4M,"1,000+",Paid,$1.49,Everyone,Tools
FAMILY,4.6,36813,33M,"500,000+",Free,0,Everyone,Entertainment
PERSONALIZATION,4.2,112479,4.3M,"10,000,000+",Free,0,Everyone,Personalization
TOOLS,3.6,949,411k,"100,000+",Free,0,Everyone,Tools
FAMILY,3.9,536,10M,"10,000+",Free,0,Everyone,Casual
PERSONALIZATION,4.0,11343,8.4M,"1,000,000+",Free,0,Everyone,Personalization
FAMILY,4.0,4518,41M,"1,000,000+",Free,0,Everyone,Simulation
PRODUCTIVITY,,4,13M,100+,Free,0,Everyone,Productivity
PERSONALIZATION,4.4,7519,4.0M,"500,000+",Free,0,Everyone,Personalization
GAME,3.8,469,80M,"10,000+",Free,0,Everyone,Adventure
SPORTS,,19,3.5M,100+,Free,0,Everyone,Sports
FAMILY,4.1,66661,22M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play
SPORTS,4.6,549,2.8M,"50,000+",Free,0,Everyone,Sports
TRAVEL_AND_LOCAL,4.1,98,2.0M,"5,000+",Free,0,Everyone,Travel & Local
TOOLS,3.4,5,21M,500+,Free,0,Everyone,Tools
GAME,4.6,214878,10M,"10,000,000+",Free,0,Everyone,Board
WEATHER,4.5,76593,Varies with device,"500,000+",Paid,$5.99,Everyone,Weather
TOOLS,,0,35M,50+,Free,0,Everyone,Tools
COMMUNICATION,4.3,40241,Varies with device,"5,000,000+",Free,0,Everyone,Communication
PHOTOGRAPHY,3.3,582,28M,"100,000+",Free,0,Everyone,Photography
LIBRARIES_AND_DEMO,4.3,375,15M,"10,000+",Free,0,Everyone,Libraries & Demo
COMMUNICATION,3.6,437,12M,"100,000+",Free,0,Everyone,Communication
TOOLS,4.3,33,46M,"1,000+",Free,0,Everyone,Tools
GAME,4.5,43645,46M,"5,000,000+",Free,0,Everyone,Arcade
DATING,,4,3.8M,500+,Free,0,Mature 17+,Dating
MEDICAL,4.5,30,4.1M,"1,000+",Free,0,Everyone,Medical
HOUSE_AND_HOME,4.5,103305,Varies with device,"5,000,000+",Free,0,Everyone,House & Home
LIFESTYLE,,5,12M,500+,Free,0,Everyone,Lifestyle
NEWS_AND_MAGAZINES,4.2,78154,12M,"1,000,000+",Free,0,Everyone 10+,News & Magazines
PERSONALIZATION,4.5,69,951k,"1,000+",Paid,$0.99,Everyone,Personalization
MEDICAL,,24,10M,100+,Paid,$5.99,Everyone,Medical
LIFESTYLE,4.1,6808,12M,"500,000+",Free,0,Teen,Lifestyle
COMMUNICATION,4.0,36901,6.6M,"5,000,000+",Free,0,Everyone,Communication
SPORTS,3.3,1391,Varies with device,"100,000+",Free,0,Everyone,Sports
NEWS_AND_MAGAZINES,4.5,249919,Varies with device,"10,000,000+",Free,0,Everyone 10+,News & Magazines
BOOKS_AND_REFERENCE,4.7,967,6.7M,"500,000+",Free,0,Everyone,Books & Reference
FOOD_AND_DRINK,4.5,5093,56M,"500,000+",Free,0,Everyone,Food & Drink
FAMILY,4.6,99,19M,"10,000+",Free,0,Teen,Strategy
LIFESTYLE,3.8,1140,746k,"100,000+",Free,0,Everyone,Lifestyle
LIFESTYLE,,1,4.0M,100+,Free,0,Everyone,Lifestyle
TOOLS,4.2,3606,17M,"100,000+",Free,0,Everyone,Tools
PERSONALIZATION,4.1,398,6.8M,"100,000+",Free,0,Everyone,Personalization
TOOLS,3.3,40,2.7M,"1,000+",Paid,$1.99,Everyone,Tools
LIFESTYLE,4.5,31,2.3M,"1,000+",Free,0,Everyone,Lifestyle
VIDEO_PLAYERS,4.2,192677,17M,"50,000,000+",Free,0,Teen,Video Players & Editors
FAMILY,5.0,5,15M,50+,Free,0,Everyone,Education
SHOPPING,4.4,2788923,Varies with device,"100,000,000+",Free,0,Teen,Shopping
MEDICAL,4.2,19,20M,"1,000+",Free,0,Everyone 10+,Medical
PRODUCTIVITY,2.3,3,16M,"1,000+",Free,0,Everyone,Productivity
COMMUNICATION,4.3,659395,11M,"100,000,000+",Free,0,Everyone,Communication
FAMILY,3.7,11748,36M,"1,000,000+",Free,0,Teen,Casual
FAMILY,4.3,10,20M,100+,Paid,$12.99,Everyone,Simulation
GAME,4.5,5387639,53M,"100,000,000+",Free,0,Everyone,Racing
DATING,4.8,110,4.9M,"10,000+",Free,0,Mature 17+,Dating
TOOLS,4.7,24985,7.8M,"500,000+",Free,0,Everyone,Tools
TOOLS,4.6,436615,10M,"10,000,000+",Free,0,Everyone,Tools
FAMILY,4.0,8126,61M,"1,000,000+",Free,0,Everyone,Entertainment;Brain Games
SOCIAL,4.2,305367,46M,"10,000,000+",Free,0,Everyone,Social
DATING,4.9,776,4.9M,"5,000+",Free,0,Mature 17+,Dating
FOOD_AND_DRINK,4.3,31986,76M,"1,000,000+",Free,0,Teen,Food & Drink
GAME,4.4,1397944,50M,"10,000,000+",Free,0,Teen,Action
SOCIAL,4.8,1264084,62M,"10,000,000+",Free,0,Teen,Social
TOOLS,,0,19M,5+,Free,0,Everyone,Tools
HEALTH_AND_FITNESS,5.0,3,9.3M,100+,Free,0,Everyone,Health & Fitness
FAMILY,,2,15M,"1,000+",Free,0,Everyone,Education
FAMILY,4.7,8600,91M,"500,000+",Free,0,Everyone,Puzzle
SHOPPING,3.8,454,18M,"100,000+",Free,0,Everyone,Shopping
FAMILY,4.4,2420,6.7M,"50,000+",Free,0,Teen,Entertainment
FAMILY,3.8,20292,47M,"1,000,000+",Free,0,Everyone,Educational;Creativity
NEWS_AND_MAGAZINES,4.3,386,6.0M,"50,000+",Free,0,Everyone,News & Magazines
COMMUNICATION,3.9,33,3.4M,"5,000+",Free,0,Everyone,Communication
BEAUTY,4.3,601,35M,"100,000+",Free,0,Everyone,Beauty
AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",Free,0,Everyone,Auto & Vehicles
PHOTOGRAPHY,3.3,3492,17M,"5,000,000+",Free,0,Everyone,Photography
TOOLS,3.0,172,Varies with device,"10,000+",Free,0,Everyone,Tools
GAME,4.6,132282,20M,"1,000,000+",Free,0,Everyone,Adventure
GAME,4.6,260527,49M,"10,000,000+",Free,0,Everyone,Arcade
GAME,4.1,234606,59M,"10,000,000+",Free,0,Everyone,Action
TOOLS,5.0,3,29M,100+,Free,0,Everyone,Tools
FOOD_AND_DRINK,4.5,41,4.0M,500+,Free,0,Teen,Food & Drink
LIFESTYLE,4.3,258717,9.4M,"10,000,000+",Free,0,Everyone,Lifestyle
VIDEO_PLAYERS,3.5,197,9.8M,"10,000+",Free,0,Everyone,Video Players & Editors
DATING,3.9,853,27M,"100,000+",Free,0,Mature 17+,Dating
FAMILY,4.2,70753,14M,"5,000,000+",Free,0,Everyone,Puzzle
FINANCE,3.8,1054,9.7M,"100,000+",Free,0,Everyone,Finance
GAME,4.4,61746,Varies with device,"500,000+",Free,0,Teen,Casino
PRODUCTIVITY,4.3,184,Varies with device,"1,000+",Paid,$2.99,Everyone,Productivity
DATING,4.5,182986,77M,"5,000,000+",Free,0,Mature 17+,Dating
SOCIAL,4.3,8606259,Varies with device,"500,000,000+",Free,0,Teen,Social
SOCIAL,3.2,6,458k,100+,Free,0,Everyone,Social
FAMILY,4.7,30,Varies with device,"1,000+",Paid,$7.49,Everyone,Educational;Education
TOOLS,4.5,465831,8.9M,"10,000,000+",Free,0,Everyone,Tools
MAPS_AND_NAVIGATION,4.2,453,36M,"10,000+",Paid,$2.99,Everyone,Maps & Navigation
EDUCATION,4.5,172508,76M,"5,000,000+",Free,0,Everyone,Education;Education
NEWS_AND_MAGAZINES,4.7,174827,25M,"10,000,000+",Free,0,Mature 17+,News & Magazines
FAMILY,,0,3.3M,10+,Paid,$0.99,Everyone,Education
FAMILY,3.8,127229,34M,"10,000,000+",Free,0,Everyone,Casual
FAMILY,4.1,217736,87M,"10,000,000+",Free,0,Everyone,Casual;Pretend Play
COMMUNICATION,4.6,265,2.6M,"10,000+",Paid,$2.99,Everyone,Communication
PRODUCTIVITY,4.7,19302,7.2M,"5,000,000+",Free,0,Everyone,Productivity
SHOPPING,4.6,1370749,Varies with device,"50,000,000+",Free,0,Teen,Shopping
TOOLS,4.5,429580,Varies with device,"10,000,000+",Free,0,Everyone,Tools
ART_AND_DESIGN,4.8,1216,8.6M,"10,000+",Paid,$1.99,Everyone,Art & Design
ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design
GAME,4.3,696019,Varies with device,"50,000,000+",Free,0,Everyone 10+,Arcade
EDUCATION,4.8,4075,5.1M,"500,000+",Free,0,Everyone,Education
TOOLS,,0,2.9M,10+,Free,0,Everyone,Tools
FAMILY,2.5,706,Varies with device,"10,000+",Free,0,Everyone,Education
TRAVEL_AND_LOCAL,3.7,21443,Varies with device,"5,000,000+",Free,0,Everyone,Travel & Local
PHOTOGRAPHY,4.3,46242,5.2M,"1,000,000+",Free,0,Everyone,Photography
HEALTH_AND_FITNESS,4.0,3061,5.5M,"100,000+",Free,0,Everyone,Health & Fitness
BOOKS_AND_REFERENCE,4.8,238,27M,"10,000+",Free,0,Everyone,Books & Reference
TOOLS,4.1,46,6.1M,"1,000+",Free,0,Everyone,Tools
HEALTH_AND_FITNESS,4.4,708710,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness
SOCIAL,4.5,412725,35M,"10,000,000+",Free,0,Everyone,Social
COMMUNICATION,4.2,42925,2.8M,"1,000,000+",Free,0,Everyone,Communication
PERSONALIZATION,4.4,38,51M,"1,000+",Free,0,Everyone,Personalization
COMMUNICATION,4.4,3075118,Varies with device,"100,000,000+",Free,0,Everyone,Communication
DATING,4.7,18,5.0M,500+,Free,0,Mature 17+,Dating
TOOLS,4.4,5745093,Varies with device,"500,000,000+",Free,0,Everyone,Tools
GAME,4.2,2183,46M,"500,000+",Free,0,Everyone,Racing
SHOPPING,4.1,68406,24M,"10,000,000+",Free,0,Everyone,Shopping
TOOLS,4.3,444,1.6M,"100,000+",Free,0,Everyone,Tools
FAMILY,3.9,81543,Varies with device,"10,000,000+",Free,0,Everyone,Casual;Pretend Play
ENTERTAINMENT,4.3,1633682,57M,"100,000,000+",Free,0,Everyone,Entertainment
PERSONALIZATION,4.4,2591941,Varies with device,"100,000,000+",Free,0,Everyone,Personalization
FAMILY,4.3,63160,17M,"1,000,000+",Free,0,Everyone,Simulation;Pretend Play
FAMILY,,35,1.3M,"1,000+",Free,0,Everyone,Entertainment
GAME,4.3,1655,91M,"100,000+",Free,0,Everyone 10+,Action
TOOLS,4.3,24175,8.5M,"5,000,000+",Free,0,Everyone,Tools
FAMILY,4.6,302,9.9M,"100,000+",Free,0,Everyone,Education
TOOLS,3.3,47,18M,"5,000+",Free,0,Everyone,Tools
BUSINESS,4.1,423,20M,"100,000+",Free,0,Everyone,Business
